id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
48,,คณิตศาสตร์,2561,ภาคเรียนที่1,2018-08-19 06:54:13.374779,2018-08-19 06:54:13.374779,190
49,,ง.23101 การงานอาชีพ,2561,งานธุรกิจ,2018-08-19 06:54:13.840835,2018-08-19 06:54:13.840835,191
50,,ห้องสมุดเพื่อการเรียนรู้ ท21201,2561,โรงเรียนทวีธาภิเศก ภาคเรียนที่ 1,2018-08-19 06:54:15.368538,2018-08-19 06:54:15.368538,207
51,,ง 30207 สรรค์สร้างกราฟิก,2561,การสรรค์สร้างภาพกราฟิกด้วยโปรแกรม Photoshop ภาคเรียนที่ ชั้นมัธยมศึกษาปีท่ี 5,2018-08-19 06:54:17.071062,2018-08-19 06:54:17.071062,176
52,,งานพิมพ์ดีดภาษาไทย,2561,งานธุรกิจ,2018-08-19 06:54:17.143085,2018-08-19 06:54:17.143085,193
53,,ส32103 ประวัติศาสตร์สากล1,2561,ภาคเรียนที่1,2018-08-19 06:54:21.337059,2018-08-19 06:54:21.337059,180
54,,ท 30220,2561,ภาคเรียนที่ 1 ราชประชาสมาสัย ฝ่ายมัธยม,2018-08-19 06:54:25.746078,2018-08-19 06:54:25.746078,196
26,,a5dffd,2561,คณิตศาสตร์พื้นฐาน 5,2018-08-19 06:53:19.505917,2018-08-19 08:17:49.821631,171
55,,ท101,2561,ภาคการศึกษาต้น,2018-08-19 06:54:26.546641,2018-08-19 06:54:26.546641,200
61,,ฟิสิกส์,2561,โมเมนตัม,2018-08-19 06:54:48.980299,2018-08-19 06:54:48.980299,210
56,,ชีววิทยาพื้นฐาน,2561,1. การเคลื่อนที่ของสารผ่านเซลล์,2018-08-19 06:54:28.125136,2018-08-19 06:54:28.125136,175
57,,อ31203,2561,ภาคเรียนที่1,2018-08-19 06:54:29.74778,2018-08-19 06:54:29.74778,188
58,,นาฏศิลป์,2561,"",2018-08-19 06:54:38.42704,2018-08-19 06:54:38.42704,199
59,,ท101,2561,ภาคการศึกษาต้น,2018-08-19 06:54:38.78422,2018-08-19 06:54:38.78422,198
60,,ศิลปะ5,2561,ภาคเรียนที่1,2018-08-19 06:54:39.746723,2018-08-19 06:54:39.746723,202
62,,ดนตรี ศ31101,2561,ภาคเรียนที่ 1,2018-08-19 06:54:51.917758,2018-08-19 06:54:51.917758,192
63,,วิทยาศาสตร์,2561,"",2018-08-19 06:55:03.658259,2018-08-19 06:55:03.658259,211
64,,ศิลปะ5,2561,ภาคเรียนที่1,2018-08-19 06:55:08.213781,2018-08-19 06:55:08.213781,202
65,,คณิตศาสตร์เพิ่มเติม ค22201,2561,1.เลขยกกำลัง  2. พหุนามและเศษส่วนของพหุนาม   3.การประยุกต์เกี่ยวกับอัตราส่วนและร้อยละ,2018-08-19 06:55:19.149566,2018-08-19 06:55:19.149566,179
66,,ศิลปะ,2561,ภาคเรียนที่1,2018-08-19 06:55:26.419535,2018-08-19 06:55:26.419535,208
67,,คณิตศาสตร์,2561,"",2018-08-19 06:55:43.185516,2018-08-19 06:55:43.185516,213
68,,ง. 30278,2561, ,2018-08-19 06:55:49.514859,2018-08-19 06:55:49.514859,209
69,,โครงงานวิทยาศาสตร์ 1,2561,"",2018-08-19 06:56:14.096132,2018-08-19 06:56:14.096132,181
70,,ง.220240,2561,การสอนปี 2561,2018-08-19 06:56:18.373738,2018-08-19 06:56:18.373738,178
71,,สุขศึกษา,2561,สุขศึกษาและพลศึกษา,2018-08-19 06:57:06.655999,2018-08-19 06:57:06.655999,212
72,,ห้องสมุดเพื่อการศึกษา,2561,ภาคเรียนที่ 1,2018-08-19 06:57:23.010377,2018-08-19 06:57:23.010377,204
73,,ง31101,2561,ภาคเรียนที่1,2018-08-19 06:57:51.890562,2018-08-19 06:57:51.890562,214
