id,status,created_at,updated_at,room_id,user_id,course_id,average_score,grade,is_point_attr,studenno
166,approved,2018-08-19 07:24:37.090987,2018-08-19 08:15:19.238704,84,225,53,0,,f,1
149,approved,2018-08-19 07:21:52.757143,2018-08-19 08:08:57.080711,52,230,39,70,3,f,
186,approved,2018-08-19 07:57:52.837012,2018-08-19 08:07:41.348586,56,250,52,6.4,0,f,
175,approved,2018-08-19 07:26:06.158918,2018-08-19 08:06:45.826031,96,223,80,10,1,t,
182,approved,2018-08-19 07:54:58.052914,2018-08-19 08:10:51.820911,100,260,83,5.6,0,f,
173,approved,2018-08-19 07:25:57.995954,2018-08-19 08:10:24.638963,37,233,47,66,C,t,
180,approved,2018-08-19 07:52:12.073934,2018-08-19 08:07:41.903481,64,264,42,5.6,0,f,
190,approved,2018-08-19 08:00:22.610064,2018-08-19 08:07:00.815744,70,243,71,0,,f,8
144,approved,2018-08-19 07:19:58.319689,2018-08-19 08:06:30.143348,28,218,28,0.9,0,f,
189,approved,2018-08-19 08:00:17.242795,2018-08-19 08:15:33.578266,93,234,60,16.4,0,t,
151,approved,2018-08-19 07:22:34.946783,2018-08-19 08:03:10.442462,77,240,54,52.5,1,f,
163,approved,2018-08-19 07:24:28.110844,2018-08-19 08:11:32.492687,81,254,67,0,,f,
164,approved,2018-08-19 07:24:36.605141,2018-08-19 08:04:19.860018,68,252,36,56,1.5,f,
156,approved,2018-08-19 07:23:56.563131,2018-08-19 08:03:32.874399,74,249,72,0,,f,
191,approved,2018-08-19 08:01:35.769137,2018-08-19 08:10:26.225436,37,266,47,66,C,t,
185,approved,2018-08-19 07:57:15.158026,2018-08-19 08:03:35.330783,59,251,68,70,C+,f,
159,approved,2018-08-19 07:23:58.10161,2018-08-19 08:10:38.460839,42,224,29,70,3,f,
181,approved,2018-08-19 07:53:17.440713,2018-08-19 08:04:25.193211,58,235,41,0,0,f,
161,approved,2018-08-19 07:24:11.526837,2018-08-19 08:06:33.905673,47,241,37,2.8,0,f,
187,approved,2018-08-19 07:58:00.13089,2018-08-19 08:15:44.916383,71,228,70,18,F,t,
162,approved,2018-08-19 07:24:16.946297,2018-08-19 08:08:23.386794,73,253,38,5.6,0,f,
168,approved,2018-08-19 07:24:52.051084,2018-08-19 08:07:01.691459,61,247,35,56,1.5,f,
194,approved,2018-08-19 08:15:17.275226,2018-08-19 08:18:33.706992,72,269,61,0,,f,
192,approved,2018-08-19 08:03:49.111386,2018-08-19 08:11:58.637132,98,268,57,84,6,t,
176,approved,2018-08-19 07:26:59.245208,2018-08-19 08:18:36.729336,72,256,61,0,,f,
143,approved,2018-07-14 11:03:48.616751,2018-09-27 04:33:14.148809,3,167,4,0,0,f,14
195,approved,2019-09-03 00:03:39.261722,2019-09-03 00:55:18.156288,116,286,95,100,4,f,1
205,approved,2019-09-06 07:14:38.813118,2019-09-06 07:23:48.876873,122,333,103,88,4,f,
209,approved,2019-09-06 07:14:40.326976,2019-09-06 07:23:24.600111,133,342,123,34,0,t,
197,approved,2019-09-06 07:13:23.229975,2019-09-06 07:29:44.107323,120,327,121,76,3,f,
201,approved,2019-09-06 07:14:04.098574,2019-09-06 07:23:03.187636,139,329,106,0,0,f,
208,approved,2019-09-06 07:14:39.722227,2019-09-06 07:22:39.081287,128,334,112,75,3.5,f,
219,pending,2019-09-06 07:16:57.355896,2019-09-06 07:16:57.355896,159,345,146,0,,f,
214,approved,2019-09-06 07:14:42.646294,2019-09-06 07:32:21.231607,127,323,105,66.5,2.5,f,
220,approved,2019-09-06 07:17:24.007447,2019-09-06 07:32:54.203099,151,340,139,42.75,0,f,
212,approved,2019-09-06 07:14:41.011928,2019-09-06 07:46:16.934281,142,336,118,78,3.5,f,
204,approved,2019-09-06 07:14:38.065839,2019-09-06 07:23:05.093626,140,337,104,80,4,f,
215,approved,2019-09-06 07:14:47.181815,2019-09-06 07:23:07.848264,144,335,113,85,4,f,
221,approved,2019-09-06 07:17:27.53788,2019-09-06 07:23:25.808118,129,347,110,64,1.5,f,
217,approved,2019-09-06 07:16:17.53682,2019-09-06 07:23:44.665256,148,344,129,39.25,0,f,
213,approved,2019-09-06 07:14:42.611926,2019-09-06 07:42:18.399503,119,324,101,78.5,3.5,f,
216,approved,2019-09-06 07:15:48.239334,2019-09-06 07:22:32.42812,130,343,111,32,0,f,
210,approved,2019-09-06 07:14:40.391429,2019-09-06 07:26:19.400732,126,328,100,90,4,t,
222,approved,2019-09-06 07:17:52.454004,2019-09-06 07:34:10.271303,132,349,107,87,4,f,
223,approved,2019-09-06 07:20:34.700645,2019-09-06 07:32:52.034125,135,350,120,78,3.5,t,
200,approved,2019-09-06 07:14:03.405835,2019-09-06 07:23:28.273847,138,330,116,81,4,f,
218,approved,2019-09-06 07:16:20.640095,2019-09-06 07:23:44.880927,145,341,117,78,5,f,
207,approved,2019-09-06 07:14:39.641954,2019-09-06 07:23:59.298654,123,332,127,0,0,f,
203,approved,2019-09-06 07:14:26.13315,2019-09-06 07:24:34.729836,136,326,114,64,2,f,
206,approved,2019-09-06 07:14:39.311977,2019-09-06 07:24:44.148734,141,339,115,55.5,1,f,
202,approved,2019-09-06 07:14:06.109977,2019-09-06 07:25:37.760849,121,325,119,10,0,t,
198,approved,2019-09-06 07:13:45.331395,2019-09-06 07:25:49.021497,154,338,138,0,0,f,
211,approved,2019-09-06 07:14:40.451726,2019-09-06 07:26:32.733785,124,331,102,52.15,1,f,
225,pending,2019-09-06 07:26:46.563035,2019-09-06 07:26:46.563035,125,348,122,0,,f,
224,approved,2019-09-06 07:23:32.265835,2019-09-06 07:27:54.262495,156,351,144,0,,f,
226,approved,2019-09-06 07:28:37.530114,2019-09-06 07:29:50.544177,131,352,108,68,2.5,f,
227,approved,2019-09-06 07:28:43.75422,2019-09-06 07:30:33.147858,150,351,135,65,2,f,
